T_i,B_i
33,778
916,913
574,987
745,1
801,229
740,578
474,580
838,810
572,945
468,893
401,315
410,386
723,242
411,133
453,835
774,653
639,822
540,786
549,596
709,303
160,980
658,455
343,466
993,507
500,453
713,86
131,267
589,577
71,518
157,154
56,702
261,503
602,288
915,214
472,869
406,169
691,967
862,620
121,956
517,633
271,104
314,9
60,549
578,618
434,286
945,219
834,844
526,562
624,574
357,549
497,372
645,716
184,656
213,562
173,514
785,918
178,205
924,740
831,385
160,743
338,180
995,943
394,43
643,494
475,475
763,583
574,278
415,328
977,130
64,313
825,938
806,608
170,906
714,995
60,505
799,916
440,776
670,592
822,813
815,974
113,970
594,548
21,370
519,335
234,526
473,15
856,487
621,624
336,591
217,950
225,253
951,181
337,564
91,722
868,303
810,220
17,428
568,256
6,331
579,651
403,231
132,719
683,147
595,971
407,842
29,964
961,626
510,92
242,885
134,403
760,809
104,707
580,780
433,393
578,139
920,854
58,450
872,849
568,618
386,541
732,784
191,216
286,429
660,788
603,189
694,536
329,527
633,799
386,252
960,813
419,307
199,260
598,526
651,809
343,394
595,894
547,159
92,72
103,675
594,494
156,829
517,150
539,525
68,980
1000,621
421,190
258,647
211,482
938,58
904,133
681,482
410,746
343,429
91,724
17,457
288,177
603,636
317,429
472,872
491,700
596,748
316,598
45,335
939,385
681,120
325,510
566,719
286,176
855,684
53,462
950,459
894,668
926,231
597,969
448,223
612,981
177,284
641,51
980,688
79,586
928,619
336,248
746,144
540,739
398,577
558,945
571,865
635,388
103,89
40,733
422,3
430,147
619,840
939,324
518,217
360,828
709,648
289,487
444,986
608,315
168,407
667,186
811,906
40,1000
594,776
764,238
532,492
192,830
299,362
282,701
116,615
628,180
900,189
641,336
607,596
995,820
319,704
369,418
608,543
94,926
398,559
709,200
208,262
222,401
209,764
834,775
882,63
758,625
151,693
293,250
285,404
345,99
853,995
801,124
862,309
452,696
944,838
566,557
690,528
806,908
232,433
268,331
200,871
300,245
750,37
681,881
2,857
76,63
20,617
643,932
664,67
996,998
383,4
953,162
62,463
71,298
724,448
305,353
275,80
428,315
252,729
15,230
197,83
557,301
95,544
391,901
18,436
586,33
238,15
909,978
421,567
733,291
157,803
723,757
250,17
30,538
313,179
611,81
492,209
504,709
91,1
514,224
621,470
688,867
229,887
866,800
186,840
620,646
975,80
428,768
705,18
92,647
837,421
880,622
334,175
913,879
63,775
25,317
654,272
891,3
872,356
833,676
160,913
408,242
570,123
195,821
921,777
218,587
450,521
181,377
429,771
87,671
99,1
4,836
788,948
110,60
1000,311
467,929
61,394
982,681
909,561
927,954
488,686
155,215
69,828
286,563
149,649
813,282
200,473
989,755
848,325
569,880
857,264
524,45
210,34
143,569
86,974
510,596
196,124
457,882
192,914
807,414
70,38
942,205
727,182
501,160
227,862
454,244
665,498
968,319
543,607
747,406
198,825
450,892
612,116
317,246
318,379
439,227
196,556
976,990
203,305
192,684
10,471
26,95
286,752
792,312
630,155
2,117
192,358
76,521
990,78
365,314
265,298
392,169
983,228
4,205
811,472
348,5
908,3
87,87
719,722
955,621
679,866
868,51
421,508
615,155
462,921
507,723
471,929
560,456
786,4
911,252
561,494
321,208
16,721
454,104
566,314
763,157
406,180
581,878
940,325
744,817
620,342
165,385
12,20
867,656
525,912
935,555
518,957
329,428
169,106
372,298
230,574
978,212
755,57
944,733
764,323
576,520
43,588
387,949
830,583
186,307
88,65
77,947
937,579
410,758
699,16
363,74
293,153
295,488
401,978
96,371
931,433
14,525
984,160
543,841
895,817
148,370
332,569
983,53
525,569
511,438
161,524
628,712
784,833
924,617
38,765
858,492
70,570
17,641
318,630
31,212
873,526
816,419
801,459
691,565
751,61
712,265
12,48
910,879
51,523
336,325
398,753
394,538
400,496
250,764
888,123
155,36
943,22
362,666
313,520
995,33
784,135
485,854
764,596
707,629
45,85
38,914
619,172
125,65
259,525
727,854
267,618
390,915
392,997
226,796
251,606
460,313
855,51
721,60
802,616
106,962
942,985
465,44
92,663
999,127
909,202
594,773
467,337
280,745
350,243
649,191
638,458
298,557
730,756
398,655
656,409
854,402
317,101
668,659
501,50
254,308
87,459
711,27
65,768
557,693
621,214
831,200
6,717
448,240
209,92
516,153
822,626
904,289
619,78
375,302
790,704
721,326
763,741
377,109
720,52
811,584
626,886
570,382
370,11
986,612
486,367
574,644
828,704
636,586
426,624
430,560
611,638
820,319
651,100
467,431
790,652
51,885
947,361
990,332
833,279
247,134
318,465
666,479
801,400
352,341
491,227
724,966
675,339
910,2
230,358
879,261
808,842
328,155
227,620
623,896
490,480
544,796
904,962
312,732
517,474
963,403
113,24
262,604
431,7
693,949
109,944
849,752
466,664
762,193
42,565
155,232
279,592
690,846
529,985
180,808
81,383
368,177
802,503
977,828
784,897
825,520
676,943
755,641
93,977
527,488
679,573
70,139
394,679
371,701
835,903
509,758
398,240
53,196
927,410
772,392
709,780
149,485
350,575
889,163
20,471
396,819
90,506
898,273
444,352
447,124
409,737
698,923
142,12
145,648
82,700
168,912
463,736
747,759
555,728
829,929
190,248
111,219
230,694
870,567
220,380
458,795
780,500
804,611
188,390
44,18
221,519
858,36
852,867
133,891
850,923
632,426
237,275
894,956
897,422
114,665
475,729
598,240
116,538
541,36
271,101
396,384
676,846
812,407
657,668
32,236
182,74
561,99
115,174
752,633
852,294
216,200
880,421
618,172
669,381
316,942
366,424
339,865
921,158
224,729
241,113
199,299
32,933
638,749
672,739
878,835
612,871
215,611
698,204
956,925
508,123
509,683
442,395
775,235
952,407
528,570
531,306
49,14
136,462
84,246
325,413
477,607
666,508
627,189
70,346
139,205
208,656
52,796
413,979
431,579
58,789
247,721
221,438
602,146
893,640
620,153
59,894
72,896
81,125
624,82
850,955
148,540
971,942
245,291
919,102
755,258
538,806
496,628
826,449
474,467
991,797
293,469
652,752
954,536
43,936
804,236
117,300
461,542
309,786
676,902
959,10
616,609
191,244
593,7
381,473
216,121
723,415
86,906
668,218
972,208
91,425
297,781
787,402
635,859
737,408
989,648
614,632
365,193
453,766
397,706
878,226
27,587
954,928
445,72
688,139
757,311
654,909
294,495
828,475
852,541
514,301
355,673
972,483
536,507
357,932
118,180
595,487
826,110
55,795
206,948
247,417
286,484
372,163
526,450
936,865
469,263
837,987
552,779
641,2
757,446
492,872
598,389
700,674
142,29
580,534
720,759
384,578
352,632
182,37
498,67
8,779
894,625
45,635
10,94
590,780
472,843
384,483
789,868
620,589
197,521
44,745
254,349
623,578
430,304
92,739
137,19
516,244
268,629
940,350
634,563
970,921
979,559
323,867
432,721
804,131
956,58
821,860
465,61
132,184
975,629
268,270
884,420
64,333
911,334
515,80
411,590
678,785
987,603
829,416
435,144
849,119
192,499
91,720
74,646
534,273
652,362
531,995
800,377
848,240
218,563
671,781
319,207
681,381
937,589
966,966
166,709
146,478
704,915
702,360
457,777
212,823
986,56
122,836
853,296
418,430
439,935
787,397
889,759
896,542
590,814
939,511
423,431
812,447
422,158
991,209
550,590
905,17
52,936
213,920
861,440
136,132
989,683
853,575
26,975
439,825
163,231
215,206
802,589
793,911
209,167
595,844
734,622
313,136
11,898
128,628
783,143
557,421
251,665
467,861
