T_i,B_i
577,506
206,274
717,645
238,615
7,286
728,691
194,841
485,376
154,50
807,365
320,971
595,569
173,876
570,64
997,691
807,345
614,820
493,692
618,982
966,218
991,320
199,276
30,998
167,149
712,417
523,755
963,690
881,902
580,787
934,826
415,356
625,453
626,517
476,362
29,441
596,525
935,546
964,814
620,333
810,624
278,671
467,666
683,707
958,708
925,864
987,864
507,551
144,88
336,834
990,693
698,321
733,925
835,383
520,190
894,898
312,179
719,618
21,400
308,350
694,478
557,460
735,500
588,991
961,820
324,231
598,694
593,406
512,372
605,973
91,725
12,373
600,408
758,655
501,820
15,778
424,394
955,401
493,408
769,401
524,66
226,421
543,672
789,566
465,756
902,526
635,958
12,29
781,166
217,727
651,575
110,603
114,24
866,359
311,186
528,592
990,611
275,71
702,10
667,604
433,747
916,356
958,124
974,130
54,117
731,623
922,445
758,871
872,229
235,25
304,937
217,454
959,939
77,219
232,542
16,800
854,954
999,965
115,247
334,337
497,361
166,438
414,913
376,239
714,821
163,112
386,132
852,35
521,113
966,309
431,83
158,828
803,830
876,871
458,424
357,310
467,627
310,690
42,526
164,204
916,99
698,443
448,893
194,60
713,100
153,435
684,930
107,806
932,926
270,745
966,633
241,15
594,833
440,525
14,102
135,104
422,581
300,165
862,76
631,667
941,208
856,189
124,825
790,465
223,913
232,101
461,532
539,352
931,130
141,484
902,311
109,978
202,588
752,592
472,199
818,917
380,621
58,732
994,881
636,792
115,343
526,92
904,152
722,845
194,701
201,934
178,921
161,138
318,203
789,35
438,905
556,211
722,787
513,911
920,386
445,241
54,382
972,214
973,471
799,584
495,815
449,217
642,470
223,539
320,400
873,955
759,275
598,262
340,309
999,598
677,65
961,926
944,722
187,724
239,577
850,301
837,594
253,414
455,776
233,54
370,537
152,725
565,720
818,319
422,114
418,598
233,656
113,957
398,20
236,551
311,216
729,564
32,583
338,905
358,771
517,58
130,540
226,231
615,82
215,888
270,381
381,705
555,299
648,290
469,986
284,745
106,346
370,597
241,898
34,332
999,496
93,631
149,462
85,667
909,762
857,912
549,241
465,663
351,439
388,268
705,247
555,890
593,327
558,527
855,352
921,212
505,875
842,220
539,552
998,209
953,221
505,965
858,438
457,204
342,613
127,638
473,420
745,191
126,94
274,394
453,768
426,251
658,254
855,684
646,651
177,41
251,941
247,255
309,837
726,409
912,531
353,485
860,180
360,348
715,101
4,710
27,687
803,933
914,210
976,300
144,543
90,37
299,650
497,682
154,151
138,858
20,610
323,543
515,59
789,260
364,860
52,538
670,845
95,794
890,945
628,165
885,74
656,321
386,731
364,294
669,303
690,927
624,920
615,972
883,897
775,497
58,74
252,418
633,175
121,779
959,280
299,994
734,651
752,34
896,14
672,741
374,565
27,985
648,980
999,342
156,110
529,795
38,176
812,729
23,68
655,909
407,75
493,172
745,844
706,428
933,532
680,427
926,139
978,447
342,747
671,294
848,617
991,646
179,742
97,875
89,881
250,90
341,289
466,249
907,788
748,853
54,13
510,292
444,593
885,936
614,180
31,176
323,744
49,538
313,903
315,141
870,193
907,726
525,93
508,997
724,457
946,370
759,934
803,559
593,278
907,864
95,238
69,500
177,443
404,359
615,535
186,82
293,993
429,491
322,638
200,482
776,721
196,546
644,799
522,318
649,667
917,828
743,76
331,604
717,435
772,490
825,48
173,997
287,887
349,61
909,81
652,441
597,803
77,669
863,125
722,337
436,16
183,392
978,891
170,181
557,811
231,206
810,78
999,912
989,987
910,382
651,183
976,80
994,316
166,446
647,949
720,487
289,177
778,934
18,133
219,224
239,116
550,67
234,692
348,911
185,536
649,913
894,36
217,521
701,8
770,663
242,666
579,941
749,126
107,921
390,927
365,351
535,537
473,266
222,213
739,195
236,248
881,912
985,295
909,238
737,158
77,114
951,885
887,731
617,949
655,608
220,956
519,959
627,632
799,48
154,614
268,360
950,94
1000,813
283,193
860,955
848,964
64,997
76,110
487,757
69,750
884,208
866,716
137,322
282,807
977,157
334,622
166,669
454,596
820,539
138,327
855,413
94,654
581,200
563,141
400,707
348,757
298,534
909,999
334,691
384,88
244,515
188,579
484,145
101,821
345,762
382,164
218,498
75,737
748,602
506,664
128,328
749,594
667,83
988,949
979,85
349,821
936,321
358,653
813,727
287,43
742,691
831,28
97,137
131,840
684,498
467,489
749,937
572,740
844,392
449,807
765,664
448,40
892,210
179,29
976,259
631,835
554,381
139,962
473,101
965,474
645,433
285,715
166,408
102,223
902,280
356,292
518,465
459,992
359,356
793,638
59,253
658,89
460,581
853,422
239,112
791,813
414,525
379,752
370,463
881,165
680,190
985,28
508,715
98,717
153,27
13,995
887,286
129,695
375,266
66,342
128,589
84,790
16,433
438,724
423,406
714,582
368,399
172,481
990,676
213,179
811,648
734,819
709,754
961,819
747,351
887,508
397,913
827,673
410,819
436,983
831,596
600,936
399,235
164,330
853,657
647,162
667,8
184,856
584,29
291,236
447,801
369,492
873,437
858,906
353,912
467,940
560,698
339,837
858,973
771,77
41,216
610,836
66,775
999,48
20,512
987,384
803,49
881,858
983,499
990,406
710,441
436,957
511,75
113,368
371,725
113,626
307,535
473,830
498,569
231,15
839,373
788,973
682,963
649,615
519,408
276,105
737,105
479,99
376,38
59,546
763,314
383,710
848,140
99,922
651,190
294,462
296,362
687,370
13,353
577,348
21,517
820,438
408,942
804,545
273,495
782,959
440,684
865,268
394,438
403,769
634,190
717,517
573,897
828,9
352,142
557,966
953,442
934,483
455,284
490,43
925,445
881,209
528,972
870,750
989,504
495,1
282,20
326,558
489,257
743,493
632,256
957,137
88,187
633,489
596,332
246,303
836,494
213,510
17,254
78,495
317,276
383,33
373,7
662,740
99,293
232,717
766,725
955,698
942,58
781,105
308,487
988,158
277,577
259,819
552,335
578,41
412,448
312,333
547,109
305,699
576,354
756,164
781,819
193,860
277,254
668,330
850,826
619,416
356,225
813,462
603,324
297,808
976,480
458,628
44,6
724,418
500,163
260,300
999,288
633,242
577,4
64,178
243,20
423,637
511,529
801,774
849,494
348,568
612,850
983,544
765,480
459,892
245,577
583,862
899,221
31,809
660,22
615,617
85,291
905,690
120,213
174,724
258,311
147,16
610,758
682,603
766,535
186,13
244,484
580,94
858,212
251,583
7,34
601,247
169,645
767,988
298,137
190,325
273,965
961,408
338,283
950,916
171,421
408,286
575,55
45,14
734,116
953,175
947,331
120,605
800,190
935,393
425,773
853,914
938,202
903,551
181,775
573,914
210,930
526,783
790,281
525,290
101,308
85,573
564,472
656,617
224,720
914,546
134,840
651,763
242,214
693,429
250,371
705,761
494,130
616,794
734,36
26,183
784,498
651,615
972,181
32,827
915,631
396,424
816,178
780,899
502,288
289,846
772,996
870,112
615,468
436,19
695,249
636,190
674,788
212,159
145,602
242,736
300,387
595,485
811,523
246,224
127,663
669,65
324,763
457,374
95,449
587,855
401,439
14,828
991,466
194,738
55,49
164,172
819,621
428,95
128,176
209,464
272,157
336,295
743,953
270,14
957,100
958,680
820,563
632,279
814,358
163,671
751,513
125,804
561,114
879,324
865,798
638,781
990,37
119,871
843,895
219,202
476,272
926,660
246,99
707,752
345,727
172,297
364,24
652,122
170,707
23,937
220,303
54,946
497,685
537,578
878,942
468,603
681,520
460,384
346,377
346,659
282,502
187,302
7,688
