T_i,B_i
463,417
23,851
541,784
838,697
88,673
694,71
148,820
174,834
33,974
858,196
533,861
876,352
772,33
302,580
896,501
826,645
894,745
342,726
591,826
63,201
650,48
621,130
346,70
95,386
78,260
980,870
988,921
692,295
326,188
265,327
495,283
942,562
979,343
81,57
860,144
450,437
173,481
914,778
181,342
654,904
183,509
415,788
637,808
719,428
908,209
755,54
950,597
346,670
613,726
124,411
613,619
118,174
779,997
659,981
585,404
159,374
104,469
885,935
483,258
567,494
277,905
250,688
383,331
494,696
724,178
472,559
485,258
928,170
714,140
920,110
232,399
722,436
345,285
606,67
190,518
427,198
487,669
835,38
426,648
508,575
207,634
808,923
270,486
531,306
769,846
452,627
919,272
280,446
876,973
661,870
882,421
687,834
914,624
278,992
597,414
668,551
950,902
2,586
122,368
287,58
533,799
353,557
619,489
165,269
780,960
187,522
28,922
695,561
510,795
103,154
780,102
770,158
985,715
390,952
156,21
837,773
916,17
463,717
52,879
397,364
924,877
377,23
998,453
517,688
763,730
70,168
251,367
839,786
354,303
954,912
314,671
550,57
977,930
479,502
413,994
769,519
829,115
841,933
876,52
608,512
620,107
221,209
25,429
941,482
897,402
45,639
644,967
456,183
675,405
645,136
934,955
579,162
828,101
98,603
304,721
940,986
105,87
482,339
559,734
320,971
582,237
40,408
5,614
952,967
246,916
705,389
647,438
429,476
363,928
996,140
590,861
918,970
405,951
309,527
857,473
456,269
991,236
159,596
88,621
659,809
259,165
247,355
948,367
587,287
251,875
771,962
119,966
877,683
115,385
467,701
415,384
42,93
219,789
311,866
116,598
435,69
335,779
975,335
462,410
699,253
193,637
547,193
952,74
986,252
166,968
881,341
636,793
984,889
309,467
284,463
436,705
624,604
489,274
352,846
222,954
59,637
188,40
584,90
106,261
208,71
431,462
523,62
547,335
95,704
500,381
887,561
357,243
1,189
850,991
646,598
967,414
754,349
102,648
173,663
589,181
913,366
842,823
822,656
952,307
958,228
70,425
966,225
952,915
358,253
539,82
245,574
24,618
704,644
517,113
701,138
822,821
43,786
310,740
699,742
424,860
741,96
217,223
358,762
803,824
638,583
72,187
87,883
974,619
443,42
154,1000
942,799
883,732
47,478
624,918
282,181
189,393
904,874
788,814
780,254
143,235
105,744
638,92
98,197
738,278
367,304
623,61
649,735
383,821
285,671
553,130
367,484
873,420
395,672
107,610
304,135
958,480
853,698
719,157
162,413
81,39
773,806
598,440
995,427
681,866
135,523
353,603
621,781
20,986
515,270
741,510
224,630
961,830
118,127
810,728
758,638
55,325
343,563
78,296
482,596
550,808
562,928
132,706
350,680
81,502
43,818
930,939
407,152
233,177
638,401
194,502
670,620
54,286
879,883
458,846
133,824
760,824
105,242
465,215
764,892
950,923
552,769
75,486
788,424
949,282
760,457
235,280
127,55
565,858
942,251
690,606
595,822
288,575
452,833
184,92
908,799
829,119
954,801
868,647
899,279
883,806
825,467
468,234
906,842
517,678
864,325
581,94
158,960
587,839
434,539
616,813
628,466
803,980
610,330
780,285
808,239
112,637
985,959
61,224
757,344
175,621
659,946
293,401
530,834
678,869
858,447
438,736
531,766
753,716
548,158
145,160
564,454
396,950
283,286
438,101
545,168
677,746
308,354
628,207
865,302
489,726
634,721
610,642
427,766
639,393
275,591
523,431
343,788
1000,721
480,379
521,825
298,987
810,445
53,706
866,396
576,270
188,781
274,172
307,230
92,499
589,911
528,372
554,516
909,636
457,945
29,846
874,250
375,592
811,219
102,673
840,637
410,984
359,602
400,70
285,793
318,758
52,295
833,403
768,241
891,949
657,7
846,412
671,629
329,949
647,382
30,911
284,941
144,224
62,39
819,710
149,150
491,113
228,101
292,55
217,132
165,20
404,626
209,979
953,801
911,306
829,817
125,363
962,537
946,191
658,449
956,364
955,762
502,530
873,480
360,304
477,6
5,565
939,577
341,368
982,448
615,132
592,364
561,437
740,147
641,584
24,970
441,62
328,635
340,429
385,35
452,849
170,686
48,521
51,257
224,867
291,254
831,160
704,967
773,44
882,496
945,503
601,385
635,978
71,361
875,802
96,843
583,359
40,843
931,883
249,499
936,206
67,460
441,947
125,651
455,621
717,15
255,371
34,213
872,617
737,184
417,931
72,367
917,876
205,986
793,876
920,598
655,184
894,860
193,55
813,738
531,365
41,298
515,526
872,502
414,373
331,318
454,499
625,657
821,563
460,877
634,869
54,149
831,10
770,324
651,728
671,707
947,932
29,118
458,861
778,406
108,519
902,216
87,986
176,342
84,928
248,739
564,876
878,652
433,771
539,933
632,476
785,3
171,525
715,274
349,597
621,705
314,60
430,80
445,590
468,753
107,777
948,132
60,254
220,684
465,663
372,716
317,856
487,545
997,247
315,133
501,135
721,148
728,475
595,849
821,23
45,147
799,7
206,800
726,574
248,327
472,481
225,325
829,427
700,853
458,281
184,16
541,987
959,677
137,760
14,905
313,845
935,859
18,377
756,796
554,723
823,753
652,821
911,528
694,28
174,998
780,428
598,81
615,656
397,303
418,835
10,589
798,129
608,897
845,656
606,990
635,809
420,884
917,797
319,97
948,682
744,212
828,657
388,599
310,73
760,717
433,291
276,963
554,354
543,93
381,353
702,777
986,20
431,776
451,842
872,406
54,379
780,154
910,988
817,891
64,286
992,261
656,750
746,653
283,197
920,766
160,850
863,136
530,552
441,96
549,978
734,68
420,620
697,970
206,327
963,595
131,648
921,934
403,545
149,774
87,957
646,273
307,542
562,92
861,402
107,87
758,717
861,446
883,304
417,768
537,868
402,748
26,170
970,782
470,119
870,754
140,41
726,436
507,223
785,726
592,77
37,31
165,205
169,943
199,822
9,553
866,669
861,531
398,114
229,597
708,733
883,622
469,665
226,199
321,705
322,912
813,307
900,335
41,51
853,152
934,813
175,390
490,482
466,676
249,903
12,904
659,319
608,810
