T_i,B_i
463,924
334,700
20,900
220,843
607,239
869,40
750,675
535,495
57,639
530,701
869,298
26,369
524,563
836,392
842,499
443,27
196,114
977,291
636,708
304,410
154,33
551,967
803,283
515,888
294,804
203,690
957,120
176,100
677,152
395,723
279,572
552,205
796,880
613,493
385,417
141,946
146,154
613,293
908,315
872,810
978,436
717,192
879,529
106,220
390,150
853,810
266,562
605,463
323,408
627,629
831,177
207,264
779,886
986,18
261,852
655,175
550,484
856,919
16,523
309,995
578,300
679,721
214,101
559,341
17,194
549,970
313,186
752,437
722,229
356,486
877,478
488,740
781,988
425,190
95,480
931,358
418,195
558,81
592,161
514,500
415,203
445,902
123,852
889,246
328,867
272,156
814,950
336,822
535,631
327,992
126,317
899,297
817,516
823,391
708,305
270,667
228,199
726,883
716,132
996,280
394,104
544,656
551,316
511,439
575,621
700,987
650,981
779,227
578,779
785,42
298,748
489,604
11,187
63,190
935,953
658,642
998,518
927,643
534,532
572,236
536,517
516,885
605,996
647,974
689,181
602,596
148,439
239,24
466,353
860,851
623,469
671,870
911,637
153,375
612,100
624,213
502,531
293,146
745,364
464,814
751,919
6,391
162,176
445,857
593,375
997,792
908,143
579,131
210,239
600,533
474,693
899,988
928,883
443,639
927,401
163,911
928,693
783,488
750,257
545,872
89,875
494,155
142,624
962,924
811,871
975,288
287,171
763,737
263,850
493,784
140,416
34,225
812,681
508,534
791,152
277,622
463,38
251,841
166,217
500,796
751,445
52,3
700,82
595,566
379,296
193,755
933,657
617,283
517,736
229,185
109,491
492,880
46,46
893,585
176,709
216,125
563,343
951,1000
326,158
531,677
539,868
154,713
156,717
575,629
274,168
161,693
614,374
715,263
795,793
514,301
487,932
811,246
859,815
784,161
85,809
99,15
345,827
926,879
498,195
209,213
146,705
896,524
54,218
857,158
510,613
527,916
247,371
465,763
881,363
551,732
495,310
763,401
313,747
576,147
636,317
305,54
824,925
60,715
263,558
433,432
682,478
742,940
833,720
414,372
99,204
920,512
95,33
160,618
754,762
461,168
101,932
333,721
392,156
388,99
155,611
266,636
683,743
895,832
429,546
894,120
381,841
51,379
347,111
30,361
375,895
47,872
151,2
144,394
182,220
511,817
200,904
318,441
846,891
260,462
941,864
126,961
2,730
977,599
458,437
626,500
770,282
284,942
539,955
202,505
182,867
987,581
29,863
883,629
754,331
991,235
500,563
907,430
338,845
315,323
667,763
39,253
410,680
671,49
628,127
732,611
365,742
545,224
140,815
987,612
235,155
296,277
932,678
378,86
90,822
963,457
875,529
947,94
30,168
609,956
266,80
167,830
614,429
552,319
785,796
388,546
886,268
309,290
1,724
7,76
403,726
727,118
97,265
110,181
414,431
686,955
779,171
700,728
785,96
507,531
394,458
272,150
711,223
707,324
86,603
958,148
593,885
885,243
333,882
268,192
790,721
308,754
31,713
307,530
587,343
572,417
599,75
958,850
750,848
125,974
513,162
43,523
243,674
99,622
643,955
70,800
482,892
221,876
173,275
203,451
606,659
142,690
203,374
92,300
736,223
683,342
346,195
289,337
193,560
70,99
104,792
421,198
692,375
17,688
335,93
165,461
444,469
246,714
477,368
906,615
748,586
757,47
349,798
998,890
645,15
554,732
487,598
330,75
745,616
393,608
