T_i,B_i
650,391
799,57
73,379
945,935
797,220
962,860
246,407
444,944
822,739
388,622
845,189
817,167
845,985
704,646
47,589
290,576
923,966
970,519
54,924
87,563
382,242
40,467
248,212
985,506
117,792
865,453
166,386
49,250
447,732
286,319
373,138
177,496
497,322
474,814
408,582
863,691
97,188
344,271
489,131
997,687
474,48
52,492
746,229
193,384
555,382
596,206
109,548
576,726
434,472
308,68
280,346
676,861
487,632
517,542
918,577
693,304
862,897
941,73
163,498
601,781
586,772
723,976
987,393
713,273
955,453
180,551
412,265
861,839
515,475
848,545
855,661
878,426
614,723
726,319
387,971
984,775
23,980
701,629
911,890
983,982
784,611
307,466
176,829
420,989
283,307
967,655
851,494
369,305
207,626
37,942
965,864
715,147
565,215
364,526
77,695
728,770
900,321
132,55
861,441
889,208
117,861
557,144
486,22
636,205
599,796
258,363
988,286
51,561
260,695
565,134
947,530
317,695
358,769
923,770
381,789
119,738
776,811
48,611
830,351
78,871
617,678
599,306
7,238
18,650
440,345
838,402
724,39
62,551
735,166
291,795
406,392
907,77
561,445
937,115
571,247
210,450
405,785
575,196
731,491
247,763
645,356
106,638
413,876
419,62
953,85
522,178
604,464
640,418
470,720
68,558
66,834
179,593
772,318
24,398
254,136
278,654
620,664
285,409
945,432
607,989
697,769
599,798
374,257
148,488
893,980
280,66
874,227
944,281
502,899
205,998
78,196
950,350
865,346
633,964
445,913
227,881
764,149
717,844
969,501
728,711
64,113
854,406
504,626
795,368
825,112
223,507
409,785
177,302
248,588
463,573
987,10
46,863
84,654
315,146
809,460
263,236
728,136
214,410
812,309
374,843
102,6
490,578
424,546
209,670
690,272
867,327
253,197
748,838
849,767
695,904
300,382
38,158
348,73
597,383
317,914
832,418
368,959
209,153
107,958
794,483
774,64
660,206
620,33
407,88
702,144
504,5
503,754
327,4
30,149
987,835
247,803
638,931
904,902
515,887
664,526
287,932
260,159
360,88
593,957
767,699
339,671
532,251
11,489
428,757
827,930
886,164
918,884
598,467
650,649
259,799
532,171
714,958
38,217
881,960
656,592
328,529
513,998
413,29
657,636
790,46
813,15
291,212
182,112
262,996
262,695
886,60
198,541
453,475
