T_i,B_i
306,454
830,560
512,114
260,7
991,51
239,144
90,904
297,347
968,692
929,695
512,241
421,430
580,373
369,994
213,203
609,315
170,193
78,129
195,97
288,355
156,260
465,436
903,789
578,157
809,409
693,459
960,546
213,11
98,890
1,428
256,796
74,154
281,305
649,367
907,792
313,287
493,955
630,77
302,519
434,754
602,114
820,371
316,761
565,604
375,355
494,484
416,313
905,133
623,445
528,768
705,817
839,805
481,489
685,846
884,151
231,830
971,413
684,468
202,118
228,746
722,94
320,866
773,690
562,633
361,470
346,794
221,935
940,381
13,212
425,259
484,22
588,342
511,773
835,70
401,832
720,912
9,40
104,719
995,237
570,780
76,864
614,425
966,364
290,924
706,922
119,834
808,36
42,361
699,210
156,204
644,218
404,199
898,318
136,161
664,704
886,832
197,636
871,834
812,21
96,619
110,702
646,524
150,75
353,299
446,878
129,105
138,256
734,636
676,995
821,320
487,929
494,315
854,981
217,314
608,641
883,335
467,811
762,798
193,433
305,277
777,425
911,536
285,638
378,250
811,637
35,556
412,846
765,969
595,213
545,919
807,924
877,84
197,270
322,46
739,946
34,134
528,936
9,710
655,985
891,541
915,885
368,998
672,660
662,648
711,247
532,752
287,187
742,310
786,326
599,801
426,498
348,373
467,972
792,830
30,976
854,282
179,526
272,709
694,637
371,527
392,653
726,864
538,814
647,581
81,717
541,333
975,297
803,256
24,136
892,672
72,347
399,597
325,181
415,718
270,582
224,237
430,793
534,60
761,676
544,166
773,738
559,377
898,847
782,695
80,770
973,649
791,726
966,629
545,746
421,970
766,63
545,776
889,85
55,815
274,38
786,847
797,830
986,720
937,772
781,107
555,156
741,541
879,902
254,145
61,296
66,335
285,142
872,521
778,319
993,957
940,350
667,516
613,851
567,306
112,21
600,650
6,826
859,287
851,996
854,518
931,585
900,47
988,32
761,141
481,300
758,651
341,356
569,943
279,416
290,95
658,943
51,940
958,421
48,160
588,367
650,51
866,135
220,811
127,114
196,264
701,187
427,648
50,507
389,202
47,380
915,956
282,435
448,497
2,818
628,721
473,865
853,217
715,307
935,734
142,160
579,889
653,858
602,18
657,324
995,504
914,332
405,949
62,349
10,454
244,198
540,881
508,450
405,618
513,624
94,688
737,277
358,178
511,734
84,931
146,163
391,954
498,90
14,542
145,636
124,288
950,954
462,311
703,675
737,902
477,510
626,113
943,297
4,467
33,213
310,38
459,871
498,610
248,408
247,505
823,704
117,505
463,936
367,96
328,910
783,949
700,239
389,546
420,396
272,696
500,863
469,43
965,505
978,236
427,486
797,47
799,778
241,795
56,756
406,23
384,118
5,378
865,265
360,564
901,641
505,780
34,9
693,553
802,592
835,594
118,751
928,401
488,547
140,193
409,688
680,445
482,132
354,455
878,699
936,899
71,172
861,357
157,207
665,9
930,900
120,926
117,495
161,399
130,54
871,621
63,115
737,854
745,945
609,104
437,658
587,890
322,914
25,809
583,131
326,727
961,34
796,294
886,5
480,719
767,691
389,60
83,728
492,732
188,630
301,475
748,617
14,747
993,370
873,531
556,731
503,596
931,818
584,568
569,665
205,89
409,62
71,967
100,141
349,458
956,454
953,53
832,18
291,892
477,923
418,769
313,554
98,513
811,763
692,544
413,979
669,489
298,131
759,408
83,722
546,160
413,56
245,128
586,370
662,806
816,853
12,77
107,270
787,789
390,308
58,963
969,676
177,899
545,434
585,305
128,349
909,24
204,376
676,184
54,111
390,873
24,413
163,893
156,279
62,771
85,278
931,354
889,809
807,351
550,743
474,934
339,224
534,672
197,150
567,384
210,394
922,404
933,140
721,709
148,973
170,944
990,849
988,335
