T_i,B_i
588,160
564,204
557,529
163,971
463,442
860,696
255,575
25,800
664,395
674,68
897,413
621,852
786,520
959,730
350,591
886,517
152,637
523,565
236,501
503,605
162,285
807,902
855,521
860,761
120,985
799,435
330,96
893,519
523,448
777,366
471,845
644,466
336,925
756,891
770,101
654,182
365,735
334,114
234,719
677,559
530,534
576,425
805,695
966,276
529,657
570,383
478,612
347,462
450,698
660,656
659,471
666,674
821,678
19,842
210,418
944,20
783,403
311,391
129,277
934,248
762,478
266,728
134,510
664,750
95,109
104,133
891,43
762,626
717,717
935,46
133,710
644,886
545,525
518,595
518,701
406,259
980,280
613,581
567,317
448,382
151,5
498,93
502,588
198,666
329,480
182,192
892,204
272,322
896,25
328,173
985,114
946,1
474,124
437,17
572,10
930,559
97,2
993,683
38,499
321,657
712,543
501,471
4,938
697,348
281,336
634,686
849,440
955,151
733,711
466,240
365,15
364,709
217,423
204,506
133,570
165,30
856,14
260,63
81,763
576,820
888,522
550,50
278,418
954,207
764,438
845,520
558,102
125,149
562,426
820,954
859,574
75,531
492,581
523,625
283,840
849,236
552,935
659,530
44,409
748,456
474,281
417,545
801,999
4,123
84,41
991,300
769,528
789,689
17,255
956,704
69,603
179,169
318,759
258,85
679,255
777,940
994,27
965,624
747,878
712,59
287,359
189,674
953,733
610,166
558,226
888,465
647,135
515,551
23,967
335,501
597,134
599,202
741,811
326,168
589,21
287,915
902,987
202,650
499,532
287,247
647,24
717,373
35,308
153,27
66,357
883,39
696,432
760,938
68,883
398,862
734,721
772,105
484,226
872,730
542,598
873,190
922,586
380,638
670,477
63,69
789,881
838,181
970,881
591,532
269,574
821,923
897,105
934,174
462,325
269,676
665,870
237,49
90,19
773,366
34,526
111,977
612,327
154,754
171,471
241,756
994,938
51,119
631,68
964,565
39,472
183,926
362,26
476,689
604,118
588,562
745,663
43,247
668,973
536,486
360,596
97,486
635,407
539,335
19,192
977,966
251,245
968,892
346,797
274,263
676,28
80,475
60,498
709,233
325,1
401,282
123,658
61,213
339,188
412,103
531,530
867,428
146,715
167,924
284,135
109,860
293,47
299,689
903,742
940,133
2,575
874,206
255,264
160,152
159,551
934,468
297,561
51,971
261,475
843,839
411,242
549,358
854,590
114,961
297,915
338,416
905,697
228,367
133,167
784,158
672,363
335,266
298,843
418,116
958,73
912,533
410,767
43,928
552,842
878,351
628,149
417,772
837,36
350,334
756,475
665,364
250,821
349,86
431,833
224,585
964,108
989,293
593,590
408,590
22,483
21,598
116,257
740,337
292,253
45,201
711,766
439,684
827,559
229,292
8,630
138,832
933,499
593,410
50,640
73,806
593,716
588,698
303,542
547,767
571,778
715,881
825,855
678,793
772,861
69,197
780,905
92,399
336,206
939,86
835,459
647,515
47,939
471,944
373,874
363,176
905,676
239,316
939,274
802,388
500,692
964,803
274,444
686,940
888,54
134,755
205,39
222,682
861,560
357,919
708,227
391,41
477,1
12,819
210,626
670,405
470,503
436,45
392,549
454,261
444,96
730,285
994,810
32,583
83,57
421,74
90,504
16,467
174,336
325,591
512,697
3,278
546,587
360,353
773,635
35,481
771,687
38,504
6,958
348,558
402,998
802,201
891,702
782,623
869,616
379,95
50,896
762,230
804,193
712,375
571,61
872,552
6,571
414,358
930,714
839,131
425,340
366,712
556,360
224,551
614,309
127,107
804,603
363,275
468,413
977,293
400,602
161,661
