T_i,B_i
349,666
779,411
378,220
924,336
423,708
496,735
971,974
57,430
769,705
389,85
886,347
644,363
653,815
959,951
392,463
864,207
874,708
366,915
904,407
669,301
347,402
587,836
790,623
715,249
583,549
874,568
999,791
225,727
745,5
287,802
359,11
744,224
692,823
637,245
716,382
286,310
783,184
561,356
745,32
10,363
276,171
653,976
193,684
31,768
843,562
784,975
331,190
106,531
229,403
736,272
960,718
76,156
426,336
130,10
205,219
676,949
129,474
55,798
877,246
289,222
380,924
465,851
495,598
868,386
260,144
754,217
576,698
888,672
934,667
721,757
778,704
874,220
844,123
781,642
53,4
701,66
415,966
115,630
526,462
934,172
795,271
686,390
779,95
646,258
548,460
38,484
999,461
660,770
480,850
207,544
781,623
67,197
872,730
33,325
366,75
88,28
660,728
700,593
542,737
289,117
518,111
469,562
904,661
160,696
709,8
441,536
610,688
87,655
508,531
574,651
581,909
967,910
194,305
227,336
362,840
795,132
299,978
208,976
759,900
858,53
920,193
683,638
185,175
991,637
83,676
870,327
702,459
101,160
44,944
72,547
482,559
897,65
243,859
517,749
817,975
759,504
668,777
376,639
50,387
494,692
391,188
891,557
252,232
685,445
247,904
882,308
171,293
448,854
583,742
842,316
360,524
989,922
11,200
846,700
447,468
170,794
445,703
620,837
576,323
447,723
56,737
123,899
255,309
686,587
546,111
451,110
722,639
138,654
817,441
867,423
855,961
719,975
139,979
281,743
246,50
378,941
761,574
536,814
149,573
757,394
409,418
221,628
256,346
661,406
741,454
38,184
991,202
651,509
93,338
591,842
277,570
112,77
765,834
78,626
982,747
769,527
156,172
924,249
281,118
729,481
385,161
496,755
893,367
112,671
832,478
636,361
182,912
267,866
947,936
565,142
698,969
431,904
352,279
741,99
772,865
639,668
228,617
14,513
260,320
213,657
862,32
987,595
418,462
692,662
402,409
929,212
684,400
342,472
34,715
82,821
658,236
757,697
499,859
586,34
400,812
268,978
39,52
190,641
741,466
283,706
561,349
83,790
391,546
310,813
444,375
260,859
730,841
267,657
658,451
44,486
874,815
941,669
424,160
104,493
19,97
83,844
437,895
910,300
803,677
782,432
523,140
903,157
213,591
141,206
671,194
441,635
172,904
67,625
406,860
839,774
393,753
526,548
945,518
827,96
727,826
957,973
26,213
734,156
165,692
788,363
317,434
377,631
646,129
208,285
332,110
343,320
864,8
927,678
40,592
18,664
448,653
857,664
253,250
11,913
508,617
535,63
986,764
513,251
78,104
106,189
812,103
131,110
543,914
654,785
244,889
622,418
778,630
898,358
985,455
135,336
20,890
589,50
403,999
459,949
76,126
876,820
144,300
900,351
509,238
361,220
799,148
725,799
616,961
559,46
522,272
83,473
739,627
101,608
899,220
44,652
35,180
101,555
890,424
127,870
629,244
449,150
835,110
345,373
919,385
762,329
674,906
972,867
7,402
636,146
896,74
79,725
446,788
821,846
884,910
404,869
242,773
351,249
874,27
76,915
723,845
182,445
787,465
860,393
139,940
594,815
704,928
392,284
46,493
201,798
710,362
951,103
796,641
2,865
95,140
972,209
335,554
724,595
264,991
117,981
958,484
427,162
666,101
502,165
317,74
164,607
167,713
466,554
10,149
885,100
470,450
364,93
184,475
529,498
280,396
204,865
220,511
24,558
913,624
531,400
766,928
415,54
114,889
727,134
882,430
729,187
286,764
995,26
489,108
45,961
381,999
708,174
617,154
705,961
561,891
265,63
456,269
877,308
100,391
464,153
346,307
132,633
684,636
645,217
374,937
408,666
229,852
862,621
493,738
283,72
174,770
459,734
242,53
46,147
386,762
354,545
473,992
272,259
537,436
934,606
474,668
899,848
194,434
414,458
762,827
499,702
188,403
792,638
975,816
64,643
438,826
611,329
281,863
70,299
599,288
351,570
