T_i,B_i
250,119
595,872
144,529
506,504
253,271
6,232
670,411
657,279
58,299
789,390
227,742
934,303
71,511
579,421
349,858
365,918
933,520
738,838
178,541
187,600
971,288
769,922
404,697
60,882
317,223
3,538
874,431
192,158
718,4
831,782
657,55
162,293
367,863
710,5
317,456
668,727
26,881
124,953
667,506
970,71
769,711
258,698
854,236
87,390
538,800
508,482
225,153
5,350
880,243
345,893
142,397
580,772
364,540
276,747
822,430
747,623
332,669
868,718
588,989
1,805
62,826
427,81
833,307
843,634
9,152
966,855
20,27
626,40
548,1
459,41
623,707
952,386
707,231
443,554
696,114
506,229
648,527
172,776
96,46
304,83
362,413
551,26
714,917
481,106
437,827
693,176
745,921
798,67
691,564
788,4
162,785
839,352
332,121
754,383
336,50
974,836
786,470
835,938
112,209
130,461
972,822
297,653
706,510
245,355
449,910
917,77
52,664
59,73
577,160
186,80
86,544
331,392
642,117
148,610
339,656
337,243
158,827
563,795
661,789
923,829
623,573
352,738
985,295
444,112
362,685
777,851
738,22
228,203
39,510
735,635
740,242
361,947
51,404
944,631
39,979
844,116
789,994
522,813
655,517
918,918
925,762
888,107
68,371
320,413
800,457
193,805
325,43
262,647
449,972
543,908
116,358
568,25
730,975
78,570
848,459
958,14
895,296
169,660
681,695
833,394
859,202
395,872
122,919
275,755
150,864
921,277
998,154
931,867
319,669
595,171
931,732
292,8
161,412
764,807
217,608
907,997
330,808
949,554
961,253
88,610
760,56
983,495
804,124
925,608
597,980
145,685
693,605
672,471
721,181
654,223
384,412
86,823
636,307
456,857
172,767
813,988
20,78
227,945
67,278
31,725
830,971
595,511
872,560
374,457
815,755
161,147
82,16
67,988
857,776
589,114
248,334
160,179
848,944
682,818
847,682
444,854
899,890
259,342
693,223
8,702
779,349
708,911
892,195
656,230
852,393
891,912
570,914
514,536
260,63
746,342
893,466
329,644
295,348
935,505
186,183
294,561
540,30
985,831
517,954
504,338
568,281
827,107
420,441
817,117
457,459
651,674
570,92
700,199
868,90
743,745
128,740
193,302
254,646
665,493
119,560
628,2
989,883
296,303
870,997
492,281
854,423
631,526
741,674
150,683
953,893
