T_i,B_i
136,27
352,3
184,619
983,22
487,970
612,680
605,952
881,718
235,153
530,956
632,140
632,586
691,10
192,35
509,169
968,608
652,12
752,595
538,390
670,48
401,937
459,379
306,921
70,752
718,79
612,28
569,17
411,632
206,708
668,429
369,784
810,293
768,182
650,104
595,606
981,125
622,287
214,972
381,351
421,246
251,488
742,545
684,61
151,163
986,636
820,961
604,322
835,232
410,670
150,164
952,779
961,62
929,137
360,865
881,833
591,514
371,411
333,147
235,24
104,924
644,709
218,729
946,642
764,354
131,209
913,972
865,267
164,286
837,253
91,846
8,208
111,950
338,722
968,115
895,387
646,849
20,69
98,572
888,513
259,1
625,819
620,390
787,210
968,77
99,726
961,598
611,425
267,487
819,929
727,407
129,948
491,127
897,176
463,960
75,155
552,450
276,804
727,209
701,126
863,604
660,932
479,424
330,768
131,308
675,286
670,211
840,181
582,455
73,894
918,437
352,44
683,474
691,161
58,90
349,519
355,117
365,768
909,47
807,65
869,676
749,318
205,464
326,529
880,993
878,698
689,888
477,551
654,254
469,101
843,55
164,264
128,434
653,922
614,107
851,902
600,429
277,506
181,352
123,238
964,388
116,994
441,976
980,842
573,710
913,95
411,829
84,207
992,930
836,631
989,299
917,689
287,6
549,669
520,729
338,237
994,236
340,171
386,685
842,566
25,33
923,603
784,244
64,754
75,984
426,364
652,198
517,945
563,143
142,42
706,764
778,636
695,189
479,392
405,150
141,335
75,371
115,209
654,499
588,935
973,947
890,25
963,527
412,495
355,982
296,488
435,157
599,137
733,266
512,369
705,716
513,151
304,947
654,433
721,989
651,845
301,465
706,42
642,435
993,182
668,643
824,318
748,352
149,207
603,356
416,808
599,643
272,189
481,864
646,963
511,917
189,863
384,74
450,709
949,79
358,879
88,142
824,209
496,786
802,426
110,704
720,417
104,757
258,280
210,729
18,535
413,138
80,205
65,320
222,658
662,698
364,32
184,850
105,668
738,296
188,630
301,755
826,452
720,496
244,224
293,67
695,473
298,423
774,217
783,475
386,276
839,111
318,232
360,509
229,817
166,392
871,364
431,410
855,391
252,624
341,135
22,180
661,727
715,520
339,512
579,279
22,506
678,426
98,994
392,214
343,752
606,839
276,123
644,597
300,862
470,652
646,629
315,173
232,615
108,329
544,896
632,327
733,613
390,615
293,456
838,190
728,591
892,481
411,956
819,286
905,563
568,654
661,46
608,730
686,443
884,391
285,918
367,812
246,729
82,310
156,681
738,760
313,197
809,294
731,885
795,575
766,882
802,950
581,973
249,999
373,907
789,640
43,84
443,847
155,262
384,465
59,47
770,746
616,137
378,444
38,120
679,698
536,164
225,703
758,216
975,928
811,941
186,121
680,622
129,726
107,444
51,985
337,249
851,699
334,607
595,188
736,237
433,155
531,235
204,66
597,562
285,635
573,499
209,998
728,634
846,247
406,92
635,336
380,602
205,659
760,205
856,81
841,300
676,653
679,805
760,572
735,346
149,889
943,241
821,941
338,220
383,431
573,240
335,737
186,862
164,262
60,197
246,893
743,887
528,43
414,33
202,426
218,654
67,482
524,487
248,883
368,985
506,16
365,964
447,820
958,862
238,366
939,893
252,328
500,824
338,16
524,674
75,535
994,829
767,459
634,419
452,879
866,846
168,225
235,842
37,281
569,177
516,335
248,671
320,138
662,266
87,143
923,581
158,95
746,10
738,210
6,982
954,675
748,797
296,930
747,289
406,131
533,911
174,768
365,376
467,45
685,357
960,699
543,563
196,856
254,596
597,529
959,49
82,113
438,662
721,272
557,524
513,936
978,467
57,267
297,359
507,81
226,818
241,847
765,392
327,271
222,788
941,641
58,338
159,190
476,820
146,283
420,883
526,8
401,923
541,543
331,109
710,958
847,149
805,419
828,921
490,469
4,30
368,895
567,553
941,31
630,871
306,280
224,972
602,528
409,156
26,255
568,926
563,819
811,528
66,830
412,967
318,265
556,265
226,565
334,660
608,360
857,423
435,732
212,988
705,927
159,328
515,166
355,747
541,524
86,261
484,84
494,301
715,602
11,598
224,662
409,557
905,684
301,857
947,841
613,910
116,787
602,962
117,81
353,89
773,351
624,763
450,380
508,281
455,909
615,483
593,74
896,185
886,124
858,222
144,667
56,158
460,412
924,158
793,893
875,203
207,201
815,126
819,785
252,660
685,666
113,550
305,218
108,401
738,251
113,288
16,649
232,107
105,165
263,603
365,329
960,885
398,538
535,152
194,497
18,191
632,703
837,248
794,58
690,858
561,172
931,42
308,558
538,750
397,321
270,809
579,125
523,926
730,920
550,656
377,595
881,993
710,476
687,384
367,269
355,540
266,789
644,76
289,873
298,385
666,777
284,542
357,324
805,56
646,333
467,83
936,980
929,665
9,1
955,916
741,139
729,469
802,100
851,66
645,709
982,364
24,94
290,903
618,332
258,204
906,182
99,308
924,912
968,53
912,747
202,976
676,173
154,870
232,208
586,282
31,989
956,639
379,133
95,800
47,876
629,548
707,827
419,554
849,174
356,196
803,576
914,818
901,26
13,441
977,490
161,824
823,143
144,883
680,39
426,172
965,741
22,877
822,223
200,270
694,248
22,673
316,252
959,437
440,360
468,958
98,481
8,498
14,979
216,176
873,436
638,273
554,423
656,340
988,457
364,404
223,694
414,765
185,421
143,294
12,343
975,385
151,224
236,141
410,600
631,767
395,787
280,220
973,64
340,817
547,808
804,90
886,343
303,399
953,433
788,240
705,76
229,282
184,34
209,793
625,470
21,479
422,221
32,627
404,92
106,74
287,704
33,832
343,943
366,89
911,599
446,942
419,409
196,22
380,107
189,332
987,777
360,313
426,166
934,551
839,603
520,674
612,721
41,562
888,553
563,417
294,832
713,721
135,685
694,987
190,26
806,292
419,572
483,906
533,421
258,321
852,861
274,829
713,256
527,289
762,547
648,278
741,630
218,625
206,113
272,562
391,540
495,751
198,10
224,734
143,689
173,711
449,329
843,559
31,493
43,548
461,586
768,971
49,601
980,703
953,438
146,505
915,597
6,634
298,646
920,743
776,138
509,894
648,426
868,943
910,193
94,420
492,508
71,949
63,972
756,537
121,814
244,852
146,673
580,453
236,781
257,490
350,442
600,447
692,76
84,45
462,518
524,779
685,634
709,157
425,687
944,878
564,225
794,575
583,331
970,311
644,650
186,789
515,639
976,364
589,579
139,559
240,105
952,740
416,161
84,267
605,620
337,579
296,302
294,168
868,154
497,369
274,753
17,95
173,354
373,158
369,884
823,419
63,993
371,171
867,247
881,106
111,535
342,697
831,133
547,370
698,806
400,800
352,781
300,323
68,16
693,363
423,160
2,964
661,773
475,104
888,395
434,793
282,66
986,329
991,397
405,7
475,643
326,633
770,574
821,735
393,154
33,483
944,958
434,610
273,389
792,926
526,602
367,448
239,891
217,541
521,897
55,706
670,275
319,621
231,191
250,568
652,903
805,270
789,9
706,607
668,448
647,94
454,193
220,517
193,46
461,390
395,560
654,516
698,893
182,944
717,485
771,510
315,485
295,934
783,108
687,122
301,216
92,190
229,950
294,35
169,690
324,542
275,954
956,694
218,542
175,506
477,400
682,480
676,809
71,892
178,687
503,903
173,104
874,732
589,160
164,478
923,126
589,650
704,965
37,813
119,307
911,122
394,948
794,559
333,627
501,929
253,495
436,54
265,513
444,211
438,972
689,443
19,146
468,335
696,775
721,176
946,483
255,394
136,83
506,133
669,938
788,341
682,935
45,678
773,710
179,132
321,193
661,361
377,330
263,300
706,99
194,755
955,832
647,429
246,606
387,344
836,888
4,844
385,985
805,940
481,878
533,169
587,716
13,323
880,126
147,238
820,196
796,703
167,753
496,812
371,730
908,555
576,737
900,914
925,548
878,113
100,338
767,985
397,302
515,641
458,844
264,780
497,735
618,651
308,835
887,155
778,709
34,451
857,587
60,321
414,456
184,343
202,632
395,730
626,236
449,547
727,430
155,97
993,262
799,493
925,510
501,77
245,480
910,451
269,450
413,588
807,808
678,776
429,740
658,433
571,197
82,279
891,344
260,974
989,355
844,664
111,699
580,85
726,351
199,395
33,481
123,265
167,859
199,827
547,255
97,645
434,78
190,711
500,705
62,629
958,809
657,779
80,585
233,459
272,753
994,532
349,28
71,497
135,276
501,568
257,616
585,737
