T_i,B_i
702,384
325,521
640,944
487,712
392,529
21,516
891,823
539,27
103,198
333,87
499,324
656,148
806,5
16,617
693,972
829,858
597,282
748,259
979,185
141,284
513,855
344,955
443,183
476,808
801,976
62,672
860,10
479,564
594,880
701,762
97,311
80,661
74,678
676,447
299,440
595,314
607,413
356,811
10,417
501,164
425,44
9,822
173,835
790,52
54,587
465,53
188,239
912,150
631,972
460,471
945,66
720,653
646,85
925,873
182,79
189,431
685,310
708,318
604,495
800,93
868,419
887,955
933,805
549,780
648,6
501,787
473,554
287,813
945,496
430,249
575,78
70,97
967,325
553,218
216,142
453,478
756,244
866,77
95,784
379,604
713,453
834,929
14,678
585,204
282,318
334,223
386,368
27,248
648,613
250,805
247,892
930,301
323,641
663,269
580,403
295,750
365,678
573,599
809,516
81,396
660,592
684,148
824,53
982,721
7,169
159,422
202,748
724,72
413,130
811,132
497,409
588,225
337,378
656,196
855,426
854,638
739,425
18,600
166,1000
483,475
378,159
454,51
201,241
805,574
379,200
587,152
38,496
170,648
976,550
801,296
588,255
173,134
141,936
880,641
449,803
379,779
603,690
658,375
996,109
810,739
643,890
271,691
905,957
448,947
37,938
854,41
706,461
934,346
741,185
863,719
278,637
329,350
72,469
631,231
121,486
618,908
767,433
284,518
452,249
771,89
30,340
63,894
644,543
911,512
288,450
561,181
180,738
226,61
241,462
15,925
915,308
356,121
866,90
684,979
776,124
989,911
666,171
668,581
452,326
898,398
381,456
14,832
160,36
918,873
947,561
63,235
239,852
443,161
396,349
722,33
382,290
489,404
11,688
557,547
469,72
522,677
714,680
113,659
666,730
495,654
294,721
335,180
93,981
274,829
772,772
227,81
736,419
625,130
590,639
843,221
229,955
249,887
409,128
905,29
656,489
764,177
962,603
2,963
463,91
215,195
552,332
563,732
110,337
659,806
25,505
81,890
513,645
243,807
937,926
902,467
641,919
746,316
189,960
249,852
805,47
69,560
207,982
216,618
860,761
757,369
874,81
619,501
59,45
946,173
376,139
568,418
404,810
668,220
453,923
947,694
868,478
143,695
464,499
689,433
917,871
943,77
85,864
310,802
45,277
321,157
625,135
454,864
640,984
434,31
730,776
693,928
24,92
163,94
934,806
654,563
483,493
139,887
737,974
779,865
522,198
356,30
33,189
883,373
862,564
68,278
244,125
599,919
620,851
686,751
801,398
797,518
744,324
44,416
372,482
585,380
22,469
210,276
230,571
946,394
638,91
617,462
748,599
152,690
524,718
657,101
470,804
282,105
422,794
42,577
409,531
986,710
82,730
590,192
140,426
167,85
391,163
465,758
485,911
870,489
709,368
361,920
372,743
176,595
390,502
15,784
161,595
591,424
896,535
3,76
545,195
524,995
680,734
170,739
9,706
538,185
468,729
418,432
855,824
327,2
828,939
395,797
120,469
606,46
383,749
337,948
586,666
48,453
271,382
816,771
943,890
861,316
731,82
381,84
586,826
373,261
891,680
598,269
358,68
662,565
664,389
696,945
394,807
193,607
460,637
29,450
763,266
515,407
912,639
951,963
123,737
428,561
964,352
920,24
588,884
14,739
168,293
249,753
117,947
796,190
526,228
716,881
243,623
175,462
960,844
600,136
97,713
24,853
154,923
841,720
295,731
810,651
561,637
45,783
492,641
111,703
366,217
102,289
277,763
357,226
473,770
827,879
874,622
658,87
95,635
281,118
263,612
528,551
992,528
890,15
795,113
821,20
490,979
346,330
489,93
932,186
501,57
509,107
173,982
29,509
340,418
40,717
688,974
962,370
216,225
82,510
347,457
560,783
565,672
227,876
89,720
932,828
549,604
750,795
564,556
971,226
483,905
620,122
305,91
77,777
554,834
598,366
163,35
697,844
388,119
197,719
959,484
926,57
948,283
386,17
794,641
659,701
483,279
671,231
643,44
468,724
278,22
495,609
464,498
679,951
539,460
594,464
622,390
845,144
506,531
828,469
913,464
805,477
581,767
121,503
96,920
294,412
447,524
129,336
28,759
944,765
174,625
399,969
941,275
248,630
806,109
675,816
205,75
547,747
301,657
958,583
503,249
353,662
613,917
420,740
315,764
490,275
198,350
648,618
349,779
320,262
615,65
837,96
432,795
196,537
884,267
402,788
813,875
598,384
210,379
463,634
271,289
437,660
948,279
562,75
357,286
221,531
309,620
201,346
984,103
657,313
59,858
452,212
421,793
846,611
430,869
755,212
482,301
401,60
87,290
998,625
612,355
215,673
59,947
246,27
976,758
643,727
947,69
143,278
795,744
914,469
300,599
602,802
634,119
139,851
624,980
266,844
134,871
311,141
667,866
405,153
709,471
3,598
939,198
484,970
873,531
172,992
323,898
472,329
669,676
124,139
496,632
946,155
408,391
981,410
101,935
87,421
932,914
390,491
551,166
715,924
103,844
858,160
905,245
778,193
89,880
432,849
195,304
534,556
54,444
293,866
167,827
630,534
293,901
386,922
886,483
386,842
888,61
487,445
951,136
22,734
48,978
488,544
350,277
437,779
860,589
864,48
818,635
420,988
653,463
330,440
724,490
496,518
665,974
908,624
491,564
641,181
783,377
341,204
240,892
51,851
263,479
195,142
759,371
39,974
842,510
308,653
21,256
815,570
181,363
182,621
300,614
600,343
41,221
139,776
506,652
97,516
676,330
563,849
885,741
39,420
75,366
661,624
838,528
531,16
22,122
702,942
147,342
483,366
815,419
43,925
347,54
623,519
922,376
296,766
666,442
941,461
267,610
732,2
63,314
794,173
697,121
993,82
191,224
704,351
95,868
929,462
551,911
395,15
289,126
654,723
759,113
841,386
529,133
961,616
741,245
489,267
614,3
805,60
727,826
238,600
990,519
881,17
58,685
730,480
267,624
894,713
