T_i,B_i
644,336
413,65
6,107
290,717
426,866
188,749
11,866
771,569
696,939
258,2
44,147
631,59
90,548
498,177
632,950
336,518
948,573
533,746
140,69
800,939
586,851
120,612
211,489
456,692
92,944
543,734
371,21
608,518
588,690
247,718
781,805
168,847
953,51
206,6
299,701
462,551
992,551
87,536
542,496
915,161
213,298
581,75
971,330
645,646
405,624
934,512
255,784
794,166
199,686
128,944
746,75
806,763
680,363
482,322
434,507
620,796
642,417
645,433
223,606
426,509
251,340
934,924
474,506
480,5
76,122
630,233
657,825
433,610
401,398
440,327
827,823
912,852
212,271
812,918
153,973
178,317
575,662
187,861
893,470
360,768
618,434
697,876
671,92
318,206
826,754
943,677
245,932
333,507
511,164
708,970
638,295
685,307
882,690
216,786
75,657
379,25
491,127
904,978
205,413
908,951
525,754
512,618
221,354
793,251
923,941
739,669
944,953
57,625
463,156
221,422
691,994
234,1
653,790
766,677
480,404
869,922
491,540
203,905
615,703
429,625
302,906
25,981
138,442
33,617
962,815
598,288
114,899
843,586
50,51
903,943
760,811
305,495
542,212
133,97
855,665
786,358
807,221
986,928
512,439
231,923
394,70
955,218
990,886
43,752
346,258
860,646
2,843
860,910
928,878
311,689
622,153
1,337
377,263
924,977
930,432
921,811
440,782
782,862
903,593
437,437
924,326
507,422
309,776
519,95
810,668
953,25
410,229
678,955
428,3
363,706
78,481
422,464
687,706
415,335
566,255
798,308
585,155
407,244
639,525
433,603
554,372
651,445
802,356
631,444
513,249
648,980
414,290
883,321
984,300
857,972
712,872
349,419
41,982
403,751
616,521
49,399
18,552
466,215
164,519
411,693
115,357
148,884
762,30
632,419
300,9
542,177
678,123
94,129
225,424
565,856
257,173
294,872
859,224
674,77
440,588
81,393
106,378
180,394
737,203
786,140
952,305
576,925
114,718
291,922
962,512
911,761
599,547
423,183
372,349
988,127
614,788
59,869
606,670
184,163
234,6
438,635
556,560
158,144
809,617
232,789
918,851
651,894
675,735
484,208
303,63
427,247
627,265
550,418
959,301
932,796
559,770
926,65
188,312
74,347
114,634
797,26
1000,233
529,966
990,236
575,797
344,366
372,228
441,725
439,957
275,118
684,806
601,861
507,407
62,882
434,939
944,15
917,607
391,908
35,533
45,358
619,986
83,258
834,839
87,873
629,332
784,868
888,348
491,276
735,169
732,28
494,860
60,44
441,774
404,804
112,131
499,216
340,519
489,56
846,51
74,399
825,42
713,268
263,530
38,495
242,944
702,434
481,282
483,449
415,33
991,506
509,997
987,397
828,912
80,924
529,161
608,89
634,919
411,426
742,857
735,458
253,738
164,201
212,271
857,724
72,855
955,537
824,144
900,590
95,55
529,393
493,344
254,65
451,936
746,591
232,797
790,583
903,399
85,530
807,939
125,801
145,501
751,280
297,443
221,871
811,505
518,447
904,211
56,804
485,444
946,202
647,621
493,877
871,818
337,774
160,52
252,204
549,899
646,428
762,542
46,346
634,55
65,10
130,21
392,190
782,65
212,169
955,836
952,393
135,744
853,262
933,734
439,789
416,7
635,11
683,648
271,251
145,141
99,945
975,624
875,420
254,165
384,428
682,769
785,760
95,25
913,868
509,952
863,723
835,964
292,404
609,72
355,498
30,535
948,816
723,602
315,223
90,262
909,82
330,796
899,629
837,953
947,513
543,370
679,91
348,876
753,903
20,284
41,494
839,766
141,748
430,131
699,630
904,552
607,293
325,833
657,201
201,740
556,539
537,74
