T_i,B_i
804,858
789,487
397,81
996,124
540,767
240,232
2,320
152,507
920,65
239,745
961,375
584,283
683,802
767,645
265,788
373,167
446,433
945,712
59,772
273,697
837,958
489,739
283,955
356,11
939,743
688,26
99,497
212,160
348,696
432,571
527,440
945,197
12,699
278,256
981,716
421,925
950,564
551,502
219,913
116,870
64,241
737,834
8,422
743,814
236,296
395,457
812,497
786,156
504,271
915,557
981,703
922,436
206,696
674,674
598,194
59,723
514,486
360,538
514,201
617,205
720,227
668,262
719,222
353,777
18,673
595,967
574,373
704,727
279,250
80,848
507,637
198,579
531,256
27,501
802,318
871,890
376,82
323,793
411,216
20,509
788,839
419,25
509,233
802,868
892,449
606,396
126,691
107,432
909,669
753,804
178,562
50,366
415,951
342,924
910,146
538,458
536,925
344,518
654,982
952,546
634,161
993,761
743,899
528,422
766,646
417,957
779,211
869,931
322,154
739,747
110,112
451,147
415,217
870,65
561,13
208,526
170,1000
200,422
311,332
871,75
646,856
960,500
373,14
265,403
816,30
942,139
602,30
784,429
240,617
918,963
380,99
218,128
931,652
167,108
733,204
247,108
983,207
625,758
880,998
533,127
322,785
656,364
203,167
412,705
264,241
38,76
760,69
627,90
195,28
417,320
426,775
678,209
662,984
955,530
952,650
502,835
640,64
129,593
355,470
430,129
885,371
1,900
387,548
389,796
736,900
780,963
37,525
830,408
708,177
675,319
393,397
185,617
268,230
336,820
489,193
857,1
82,43
764,816
312,382
136,235
22,25
782,866
282,633
150,313
482,916
26,375
958,34
893,91
969,905
257,475
568,175
332,49
98,486
264,183
811,46
567,759
328,203
398,334
203,147
603,50
345,214
202,880
640,187
723,983
912,348
778,160
490,885
338,536
955,175
836,192
969,988
410,353
714,122
902,255
124,778
843,973
975,976
618,856
609,395
577,964
130,1
472,956
17,897
138,425
420,409
626,93
587,729
833,57
800,746
581,12
141,515
757,625
60,851
343,163
191,279
276,126
95,913
933,583
704,405
783,165
338,344
46,587
806,565
148,547
713,164
273,977
329,958
318,456
998,734
284,133
387,619
785,49
298,561
502,89
570,411
992,79
574,169
992,56
215,180
753,507
297,237
352,824
778,874
471,376
206,969
168,831
218,561
228,170
651,986
829,384
116,97
986,305
910,286
508,963
38,226
310,714
462,622
928,190
220,84
176,113
50,168
211,501
437,577
518,780
835,500
589,349
818,248
424,32
405,9
710,22
276,812
292,27
577,124
962,112
406,241
785,35
682,463
547,433
974,648
298,376
870,437
57,546
172,739
969,96
375,808
616,214
866,186
887,649
657,71
128,439
358,95
942,22
796,672
328,134
193,207
617,874
480,17
958,220
213,252
730,454
336,132
285,164
304,123
579,754
95,563
481,146
604,913
349,869
959,291
769,883
362,972
278,186
315,461
536,125
34,343
969,519
727,651
486,435
599,406
44,816
463,541
887,784
44,764
38,731
833,658
966,838
1000,980
850,214
992,695
326,85
892,83
476,861
271,312
852,360
17,613
532,359
584,988
949,996
720,413
383,782
640,254
528,621
29,310
603,970
90,979
958,741
295,703
949,390
304,117
159,999
566,393
346,251
864,753
692,724
182,417
431,727
500,812
784,664
309,333
920,665
484,240
927,974
657,643
239,215
254,515
782,602
84,232
92,421
368,256
717,432
349,941
975,198
210,684
100,247
848,713
22,99
257,477
147,979
220,751
544,219
697,394
4,534
945,546
278,348
451,723
713,433
573,310
134,177
226,670
358,242
532,804
479,137
908,660
651,903
176,490
315,285
961,553
192,347
727,878
269,576
644,271
971,843
4,96
638,681
732,918
796,959
861,29
686,183
561,848
278,789
734,68
734,844
467,187
53,686
287,103
169,555
368,20
407,785
656,146
911,547
785,602
592,482
602,965
862,613
811,92
716,736
191,970
1,464
153,389
73,514
97,416
560,540
233,457
822,832
199,689
346,444
596,10
566,793
648,624
881,957
772,752
350,415
74,654
624,700
221,805
367,890
928,161
628,556
981,257
555,646
254,852
668,626
137,353
364,938
426,852
688,675
949,799
823,212
178,241
691,250
467,444
998,258
224,146
11,740
480,341
411,859
451,944
494,776
893,936
536,90
660,174
650,959
724,816
233,133
16,456
927,438
779,726
727,351
824,429
343,70
332,455
310,249
486,798
334,148
885,416
360,670
