T_i,B_i
576,866
352,623
2,335
271,620
740,150
773,720
188,457
23,818
568,770
526,206
548,279
974,480
490,977
240,259
614,424
853,42
136,310
586,643
949,833
566,124
330,655
564,760
118,432
305,890
536,499
7,575
907,315
13,173
137,676
105,889
541,937
277,486
666,3
223,41
266,747
615,870
119,127
370,630
121,837
154,476
625,882
593,441
148,647
792,115
952,447
759,880
303,281
36,486
122,386
507,425
585,93
905,525
850,225
779,878
606,647
798,486
360,611
703,24
288,156
432,906
145,529
448,736
915,59
405,325
702,7
956,68
939,374
575,142
416,256
186,537
496,763
89,569
32,615
17,306
190,824
820,1000
75,248
428,827
282,536
904,147
760,70
594,510
687,149
323,947
853,806
919,448
867,739
98,182
331,53
527,721
734,317
291,956
973,198
844,101
841,715
632,673
279,240
62,304
287,252
563,763
257,491
509,443
211,472
151,860
909,72
560,681
819,449
548,518
76,713
311,883
134,164
820,649
758,168
127,155
965,102
480,665
193,36
84,851
309,310
297,831
935,145
169,524
209,349
301,85
733,476
178,32
512,826
417,874
935,77
426,158
300,749
306,681
281,626
377,412
297,729
204,771
389,303
132,117
680,645
245,371
435,505
994,712
321,453
427,95
836,999
613,521
109,887
173,613
737,816
325,433
636,524
283,100
375,412
533,520
331,241
256,593
900,492
945,154
395,904
901,863
105,264
119,424
309,104
305,635
920,731
860,906
227,960
733,268
22,725
370,231
664,84
663,609
841,139
546,388
53,495
122,607
394,655
86,471
323,931
935,936
882,613
566,630
544,466
752,44
669,840
221,412
170,291
920,225
892,173
632,145
58,32
991,631
484,438
922,903
54,637
492,331
353,463
829,918
619,241
851,243
112,525
97,501
995,158
866,643
528,187
788,605
563,931
63,750
926,968
949,728
622,989
6,455
394,486
712,336
59,891
588,482
835,722
855,933
672,602
841,119
761,963
653,905
837,43
377,138
741,39
511,602
257,432
649,283
304,186
906,443
754,37
363,340
344,195
488,222
125,824
815,345
516,327
831,56
827,29
717,952
273,984
535,843
552,702
999,849
483,301
698,842
776,241
392,964
912,990
86,811
66,983
769,468
280,936
423,556
918,119
653,586
713,331
99,558
903,82
982,648
423,526
476,511
355,664
678,71
520,864
644,352
663,756
970,854
232,96
845,819
974,896
358,325
60,188
114,615
232,78
210,293
972,977
825,214
721,537
385,489
144,639
568,144
962,877
294,367
369,790
685,709
525,999
280,118
795,236
79,232
798,957
276,327
960,170
897,931
441,256
82,842
960,470
524,30
940,684
680,409
886,635
232,1000
408,761
702,353
461,197
602,507
626,959
442,118
858,309
396,864
436,732
306,277
591,538
524,977
577,215
454,370
353,277
8,525
710,334
273,152
190,421
726,750
212,305
485,536
676,253
569,467
161,817
329,31
451,293
810,309
816,508
730,359
423,966
722,295
550,500
96,120
263,247
290,757
555,311
749,96
855,456
818,774
623,717
599,348
732,712
467,743
479,64
81,423
501,157
242,725
423,977
443,719
854,243
755,714
11,938
425,388
302,938
758,570
762,609
334,776
511,64
953,136
390,659
200,746
249,903
416,64
847,248
856,335
609,193
235,222
690,825
335,594
159,999
141,238
913,94
161,871
49,169
951,591
789,462
575,42
816,503
962,969
494,173
478,11
457,840
735,27
601,573
228,491
234,653
840,563
77,548
285,651
53,145
782,97
250,596
661,415
729,742
896,183
447,971
350,858
510,766
7,808
38,511
240,99
955,982
36,53
487,543
610,553
333,73
886,383
396,258
657,233
457,884
327,764
946,656
624,327
924,487
595,139
901,908
201,796
471,374
363,973
947,612
922,864
19,153
395,348
438,457
719,476
749,996
559,214
448,29
770,811
171,267
131,338
979,523
243,902
479,61
930,429
899,321
942,673
702,224
680,162
549,970
182,147
476,679
396,379
701,954
687,714
1,277
716,849
989,54
468,571
875,602
711,856
659,806
394,609
707,16
735,363
593,926
50,618
628,425
914,195
830,115
332,838
546,488
423,846
711,24
671,428
441,917
792,8
807,965
18,621
248,741
506,176
220,733
525,267
260,99
560,328
425,889
987,424
82,564
872,993
460,578
109,233
444,794
7,658
469,688
816,685
178,583
145,440
743,895
92,682
972,170
981,78
912,116
436,830
300,170
766,38
147,529
166,360
20,591
813,574
233,60
424,670
76,166
479,146
596,704
307,198
909,368
669,130
60,595
453,779
5,651
391,97
646,915
634,290
261,340
477,3
963,816
622,791
237,128
821,294
924,808
593,117
164,583
915,984
162,609
114,181
914,905
877,250
115,614
419,90
190,162
957,626
341,698
780,324
114,688
626,343
722,646
565,391
859,580
847,734
631,616
210,559
680,744
10,229
328,719
226,897
101,410
294,329
806,480
170,779
169,106
336,221
538,909
466,263
952,314
503,841
170,887
973,397
564,849
59,364
792,611
917,864
274,368
601,575
672,775
65,58
173,49
912,655
56,956
745,554
280,442
774,115
363,340
881,923
582,640
398,241
647,390
396,736
26,4
333,591
980,188
610,354
204,50
402,242
196,590
874,844
837,797
625,342
549,989
176,566
621,959
757,104
214,170
413,249
940,998
307,986
302,361
282,476
520,392
525,876
301,144
331,247
200,958
121,133
562,65
859,585
444,941
131,222
847,918
446,462
514,918
554,120
776,781
489,968
488,708
486,759
343,967
452,600
136,56
297,61
209,901
276,579
592,575
873,981
939,99
528,126
783,121
777,172
324,874
637,651
938,826
713,577
464,157
149,446
822,210
912,477
516,284
854,734
756,399
551,643
974,373
27,687
408,112
940,964
172,277
196,325
201,148
713,853
818,532
112,141
501,814
899,917
741,288
381,813
347,98
628,48
29,25
649,435
851,400
74,549
843,311
254,397
777,347
855,264
132,671
411,602
583,751
566,354
201,789
397,907
47,378
384,486
417,761
650,46
300,972
716,416
697,183
798,910
797,596
953,325
399,361
952,660
245,135
161,13
654,890
706,765
905,100
368,953
274,225
871,530
387,239
997,137
185,774
710,58
370,486
661,943
307,360
745,33
440,223
717,567
30,100
340,421
931,791
458,193
193,704
424,615
453,307
134,582
996,777
869,336
454,177
228,34
577,407
459,753
736,598
539,391
898,142
727,814
975,717
325,10
777,146
570,372
420,91
551,81
311,945
666,322
74,192
877,370
218,927
581,164
702,668
33,979
308,4
922,5
41,985
82,773
597,433
508,811
396,145
357,334
66,8
294,661
894,79
99,878
900,299
566,713
576,222
323,837
417,749
984,576
448,580
150,935
295,503
493,223
262,377
223,892
309,514
325,964
411,325
457,800
246,532
412,828
138,426
924,8
978,865
848,616
343,700
352,313
132,641
880,738
866,779
774,661
993,703
141,249
968,746
949,87
395,966
823,57
42,797
505,286
6,58
139,956
15,214
911,693
656,192
239,850
149,993
612,797
414,430
443,915
410,359
324,730
813,843
165,905
945,593
87,474
52,214
829,182
861,416
821,960
508,436
495,30
